% Model,Untitled.mph
% Version,COMSOL 5.5.0.359
% Date,"May 11 2020, 01:25"
% Table,Accumulated Probe Table 2 - 
% show_air,frequency (Hz),I (A),Time (s) (s),"Three Layer force, x component (N), Three Layer Force X Probe","Economic force, x component (N), Economic Force X Probe","Two Layer force, x component (N), Three Layer Force X Probe 1","One Layer force, x component (N), Three Layer Force X Probe 2","Economic force 14 tooth, x component (N), Economic Force X Probe 1"
1,10,1,0,0,0,0,0,-0.012028474940787199
1,10,1,0.005000000000000001,0,0,0,0,-0.02569009920073395
1,10,1,0.010000000000000002,0,0,0,0,-0.028886245290640027
1,10,1,0.015000000000000003,0,0,0,0,-0.031176507012082542
1,10,1,0.020000000000000004,0,0,0,0,-0.03205235738381346
1,10,1,0.025000000000000005,0,0,0,0,-0.03136598310281914
1,10,1,0.030000000000000006,0,0,0,0,-0.029525474470795343
1,10,1,0.035,0,0,0,0,-0.026981630114530798
1,10,1,0.04000000000000001,0,0,0,0,-0.024851552135513846
1,10,1,0.04500000000000001,0,0,0,0,-0.023828274911046627
1,10,1,0.05000000000000001,0,0,0,0,-0.024414895039297942
1,10,1,0.05500000000000001,0,0,0,0,-0.02631768542835395
1,10,1,0.06000000000000001,0,0,0,0,-0.02876097007380592
1,10,1,0.06500000000000002,0,0,0,0,-0.030838343090223937
1,10,1,0.07,0,0,0,0,-0.03175084140181302
1,10,1,0.07500000000000001,0,0,0,0,-0.031095684521614916
1,10,1,0.08000000000000002,0,0,0,0,-0.02917023997018932
1,10,1,0.08500000000000002,0,0,0,0,-0.02679281702608632
1,10,1,0.09000000000000002,0,0,0,0,-0.02475851108394971
1,10,1,0.09500000000000001,0,0,0,0,-0.023909594874117836
1,10,1,0.10000000000000002,0,0,0,0,-0.024474942069288998
1,10,1,0.10500000000000002,0,0,0,0,-0.026417170696588537
1,10,1,0.11000000000000001,0,0,0,0,-0.028866809934993715
1,10,1,0.11500000000000002,0,0,0,0,-0.030927680643117367
1,10,1,0.12000000000000002,0,0,0,0,-0.03182323572515855
1,10,1,0.12500000000000003,0,0,0,0,-0.031204218114739144
1,10,1,0.13000000000000003,0,0,0,0,-0.029305500261293325
1,10,1,0.13500000000000004,0,0,0,0,-0.02685184531989845
1,10,1,0.14,0,0,0,0,-0.02477894998092226
1,10,1,0.14500000000000002,0,0,0,0,-0.023877102047065692
1,10,1,0.15000000000000002,0,0,0,0,-0.024489651908532556
1,10,1,0.15500000000000003,0,0,0,0,-0.026381813046279876
1,10,1,0.16000000000000003,0,0,0,0,-0.02883035434677267
1,10,1,0.16500000000000004,0,0,0,0,-0.03089985079705446
1,10,1,0.17000000000000004,0,0,0,0,-0.03179993654092189
1,10,1,0.17500000000000004,0,0,0,0,-0.031133934494157404
1,10,1,0.18000000000000005,0,0,0,0,-0.0291916487751347
1,10,1,0.18500000000000003,0,0,0,0,-0.02674644220852493
1,10,1,0.19000000000000003,0,0,0,0,-0.02469562984074508
1,10,1,0.19500000000000003,0,0,0,0,-0.023801686145230906
1,10,1,0.20000000000000004,0,0,0,0,-0.02441709224881918
1,10,2,0,0,0,0,0,-0.048113899763151446
1,10,2,0.005000000000000001,0,0,0,0,-0.10169104779143681
1,10,2,0.010000000000000002,0,0,0,0,-0.11626263305441993
1,10,2,0.015000000000000003,0,0,0,0,-0.12487558747225047
1,10,2,0.020000000000000004,0,0,0,0,-0.12822091833779306
1,10,2,0.025000000000000005,0,0,0,0,-0.1253896071800089
1,10,2,0.030000000000000006,0,0,0,0,-0.1182567946004843
1,10,2,0.035,0,0,0,0,-0.10808105343499175
1,10,2,0.04000000000000001,0,0,0,0,-0.09934951971836725
1,10,2,0.04500000000000001,0,0,0,0,-0.09535286463780887
1,10,2,0.05000000000000001,0,0,0,0,-0.09773968001038598
1,10,2,0.05500000000000001,0,0,0,0,-0.1053016096303006
1,10,2,0.06000000000000001,0,0,0,0,-0.11502919949055777
1,10,2,0.06500000000000002,0,0,0,0,-0.12335773605119237
1,10,2,0.07,0,0,0,0,-0.12672613132417462
1,10,2,0.07500000000000001,0,0,0,0,-0.1242702796890583
1,10,2,0.08000000000000002,0,0,0,0,-0.11676510898405734
1,10,2,0.08500000000000002,0,0,0,0,-0.10705126025102811
1,10,2,0.09000000000000002,0,0,0,0,-0.09884911148062159
1,10,2,0.09500000000000001,0,0,0,0,-0.09531190332083661
1,10,2,0.10000000000000002,0,0,0,0,-0.09780521780996146
1,10,2,0.10500000000000002,0,0,0,0,0.23775091921462457
1,10,2,0.11000000000000001,0,0,0,0,75.02119955039112
1,10,2,0.11500000000000002,0,0,0,0,687.384662180146
1,10,2,0.12000000000000002,0,0,0,0,2834.3027280462866
1,10,2,0.12500000000000003,0,0,0,0,8050.930226251556
1,10,2,0.13000000000000003,0,0,0,0,18410.351382520756
1,10,2,0.13500000000000004,0,0,0,0,36523.62605449538
1,10,2,0.14,0,0,0,0,65541.35926665773
1,10,2,0.14500000000000002,0,0,0,0,109151.9055588954
1,10,2,0.15000000000000002,0,0,0,0,171581.9596118353
1,10,2,0.15500000000000003,0,0,0,0,257592.11000918475
1,10,2,0.16000000000000003,0,0,0,0,372484.94072279497
1,10,2,0.16500000000000004,0,0,0,0,522071.7783258639
1,10,2,0.17000000000000004,0,0,0,0,712605.2173110204
1,10,2,0.17500000000000004,0,0,0,0,950844.9633451125
1,10,2,0.18000000000000005,0,0,0,0,1243970.5960038304
1,10,2,0.18500000000000003,0,0,0,0,1599375.201481164
